LoanStatus,LenderYield,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),Occupation,EmploymentStatus,IsBorrowerHomeowner,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,IncomeRange,TotalProsperLoans,OnTimeProsperPayments,BorrowerState
Completed,0.09,5.0,6.0,1,Analyst,Employed,False,0.0,0.0,0.0,"$50,000-74,999",2.0,16.0,NY
Completed,0.1199,6.0,8.0,1,Computer Programmer,Employed,False,0.0,0.0,0.0,"$50,000-74,999",2.0,61.0,IL
Completed,0.2675,3.0,8.0,1,Civil Service,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",1.0,9.0,CA
Current,0.1285,6.0,8.0,1,Other,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,9.0,GA
Completed,0.22,1.0,5.0,1,Military Officer,Full-time,True,0.0,0.0,0.0,"$100,000+",1.0,20.0,VA
Current,0.0709,7.0,11.0,1,Other,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,8.0,IL
Current,0.2612,2.0,2.0,1,Other,Employed,False,4.0,975.0,27.0,"$50,000-74,999",3.0,61.0,NY
Current,0.2246,3.0,3.0,1,Accountant/CPA,Employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,9.0,IL
Current,0.1073,6.0,9.0,2,Engineer - Electrical,Employed,True,0.0,0.0,0.0,"$100,000+",3.0,38.0,WA
Completed,0.3099,2.0,5.0,1,Police Officer/Correction Officer,Employed,True,0.0,0.0,0.0,"$25,000-49,999",2.0,21.0,OR
Past Due (16-30 days),0.3077,1.0,1.0,1,Executive,Employed,True,0.0,0.0,6.0,"$50,000-74,999",2.0,13.0,NJ
Current,0.1069,6.0,10.0,2,Other,Employed,True,1.0,115.0,2.0,"$100,000+",2.0,17.0,FL
Completed,0.3025,1.0,3.0,1,Other,Employed,False,0.0,0.0,1.0,"$25,000-49,999",1.0,8.0,FL
Current,0.1259,5.0,5.0,1,Sales - Retail,Employed,False,0.0,0.0,0.0,"$1-24,999",3.0,25.0,MD
Current,0.1369,5.0,6.0,3,Sales - Retail,Self-employed,False,0.0,0.0,0.0,"$1-24,999",1.0,12.0,AR
Current,0.1459,5.0,6.0,2,Postal Service,Full-time,False,0.0,0.0,5.0,"$50,000-74,999",2.0,47.0,WI
Current,0.2899,2.0,1.0,13,Medical Technician,Employed,True,1.0,1072.0,0.0,"$50,000-74,999",1.0,9.0,MO
Completed,0.1229,6.0,8.0,2,Other,Full-time,True,0.0,0.0,0.0,"$100,000+",2.0,21.0,MI
Completed,0.2999,2.0,3.0,1,Engineer - Chemical,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,5.0,NY
Chargedoff,0.3025,1.0,2.0,2,Professional,Full-time,True,0.0,0.0,0.0,"$100,000+",1.0,19.0,CA
Chargedoff,0.21,1.0,2.0,7,Retail Management,Full-time,True,0.0,0.0,0.0,"$25,000-49,999",1.0,2.0,CT
Current,0.0874,6.0,9.0,1,Other,Employed,True,0.0,0.0,0.0,"$50,000-74,999",2.0,44.0,WA
Completed,0.082,6.0,9.0,1,Architect,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,9.0,MO
Current,0.2099,3.0,6.0,7,Other,Not employed,False,0.0,0.0,0.0,Not employed,1.0,30.0,CA
Current,0.2999,2.0,5.0,1,Police Officer/Correction Officer,Employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,23.0,NY
Current,0.1625,4.0,8.0,1,Teacher,Employed,False,0.0,0.0,26.0,"$25,000-49,999",1.0,0.0,TX
Current,0.1764,4.0,3.0,13,Professional,Employed,True,1.0,1873.0,0.0,"$75,000-99,999",1.0,11.0,FL
Current,0.17,4.0,8.0,13,Administrative Assistant,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,21.0,TX
Current,0.0529,7.0,11.0,2,Doctor,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,15.0,GA
Completed,0.0599,7.0,10.0,1,Tradesman - Electrician,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,2.0,MO
Current,0.1799,4.0,6.0,7,Other,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,35.0,MN
Current,0.1464,6.0,6.0,2,Executive,Employed,True,1.0,742.0,0.0,"$75,000-99,999",1.0,12.0,LA
Completed,0.0685,7.0,10.0,2,Accountant/CPA,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,7.0,SC
Chargedoff,0.2474,3.0,4.0,1,Professional,Full-time,False,0.0,0.0,8.0,"$50,000-74,999",2.0,52.0,ID
Chargedoff,0.34,2.0,6.0,1,Sales - Retail,Full-time,False,0.0,0.0,12.0,"$25,000-49,999",1.0,12.0,MS
Current,0.2187,3.0,2.0,2,Food Service Management,Employed,True,1.0,3035.0,0.0,"$100,000+",1.0,10.0,KS
Current,0.2081,4.0,5.0,1,Other,Employed,False,0.0,0.0,0.0,"$1-24,999",1.0,34.0,CA
Current,0.173,5.0,7.0,1,Truck Driver,Employed,False,0.0,0.0,2.0,"$25,000-49,999",1.0,15.0,IL
Past Due (91-120 days),0.1123,6.0,8.0,1,Investor,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,27.0,TX
Current,0.185,4.0,5.0,1,Administrative Assistant,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,11.0,MI
Current,0.1459,5.0,6.0,1,Accountant/CPA,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,5.0,PA
Completed,0.1,6.0,9.0,1,Other,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",2.0,38.0,CA
Completed,0.1199,6.0,7.0,1,Skilled Labor,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,7.0,CO
Completed,0.0864,6.0,9.0,2,Professional,Employed,True,0.0,0.0,0.0,"$75,000-99,999",2.0,17.0,MO
Current,0.1419,5.0,7.0,2,Police Officer/Correction Officer,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,19.0,CT
Current,0.0929,6.0,9.0,1,Other,Full-time,False,10.0,3068.0,11.0,"$25,000-49,999",1.0,13.0,CA
Completed,0.093,6.0,9.0,1,Professional,Full-time,True,0.0,0.0,0.0,"$100,000+",1.0,16.0,VA
Current,0.1549,5.0,8.0,2,Professional,Employed,False,0.0,0.0,22.0,"$100,000+",1.0,9.0,FL
Current,0.2572,3.0,4.0,1,Other,Employed,True,0.0,0.0,3.0,"$50,000-74,999",3.0,48.0,CT
Completed,0.2395,3.0,8.0,1,Computer Programmer,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",1.0,21.0,NY
Completed,0.0699,7.0,10.0,1,Fireman,Full-time,True,0.0,0.0,0.0,"$100,000+",3.0,10.0,NY
Current,0.1349,5.0,7.0,1,Professional,Full-time,False,0.0,0.0,5.0,"$50,000-74,999",1.0,21.0,MA
Completed,0.1599,4.0,9.0,2,Tradesman - Mechanic,Employed,False,1.0,0.0,3.0,"$25,000-49,999",2.0,48.0,NC
Current,0.1669,5.0,6.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,14.0,KS
Completed,0.34,1.0,4.0,1,Student - College Graduate Student,Employed,True,1.0,312.0,0.0,"$1-24,999",1.0,28.0,GA
FinalPaymentInProgress,0.1199,6.0,6.0,1,Professional,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,14.0,NJ
Completed,0.1299,5.0,8.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,6.0,NJ
Current,0.0505,7.0,11.0,1,Professional,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,7.0,MO
Current,0.1674,4.0,3.0,1,Professional,Self-employed,False,0.0,0.0,0.0,"$100,000+",1.0,16.0,VA
Chargedoff,0.34,2.0,8.0,1,Professional,Full-time,True,0.0,0.0,0.0,"$75,000-99,999",1.0,8.0,OR
Past Due (1-15 days),0.3204,2.0,3.0,1,Skilled Labor,Employed,True,0.0,0.0,2.0,"$25,000-49,999",3.0,39.0,CO
Current,0.0939,6.0,10.0,15,Truck Driver,Employed,True,0.0,0.0,3.0,"$50,000-74,999",2.0,23.0,PA
Completed,0.2799,2.0,4.0,7,Analyst,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,34.0,MA
Current,0.1349,5.0,5.0,1,Other,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,9.0,NY
Current,0.0709,7.0,11.0,7,Realtor,Employed,False,0.0,0.0,1.0,"$50,000-74,999",3.0,46.0,AL
Current,0.221,3.0,2.0,1,Other,Self-employed,False,0.0,0.0,0.0,"$100,000+",1.0,16.0,MO
Completed,0.1204,4.0,3.0,1,Other,Employed,True,0.0,0.0,1.0,"$50,000-74,999",1.0,26.0,OR
Chargedoff,0.1724,4.0,4.0,1,Waiter/Waitress,Employed,False,0.0,0.0,0.0,"$1-24,999",1.0,6.0,CA
Current,0.1349,5.0,6.0,7,Other,Employed,False,1.0,6235.0,0.0,"$1-24,999",3.0,53.0,IL
Current,0.1652,5.0,6.0,1,Engineer - Mechanical,Employed,True,0.0,0.0,0.0,"$100,000+",2.0,22.0,MD
Completed,0.2399,3.0,7.0,1,Teacher,Employed,True,0.0,0.0,2.0,"$50,000-74,999",1.0,30.0,OR
Current,0.1196,6.0,8.0,3,Construction,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,1.0,ID
Completed,0.2865,2.0,6.0,5,Psychologist,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,15.0,KS
Chargedoff,0.3077,1.0,3.0,7,Other,Employed,False,1.0,0.0,2.0,"$75,000-99,999",1.0,9.0,TN
Completed,0.1499,5.0,6.0,1,Police Officer/Correction Officer,Employed,False,1.0,99.0,0.0,"$25,000-49,999",2.0,11.0,IL
Current,0.1539,5.0,6.0,18,Other,Full-time,True,13.0,820.0,34.0,"$75,000-99,999",1.0,19.0,OH
Completed,0.2675,3.0,5.0,7,Engineer - Mechanical,Full-time,True,0.0,0.0,0.0,"$100,000+",1.0,6.0,IL
Completed,0.2099,3.0,6.0,3,Engineer - Mechanical,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,16.0,KS
Completed,0.1774,4.0,2.0,2,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",2.0,40.0,MS
Current,0.1499,5.0,4.0,3,Other,Self-employed,True,0.0,0.0,0.0,"$100,000+",4.0,75.0,OH
Past Due (31-60 days),0.0599,7.0,10.0,16,Other,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,7.0,WY
Current,0.187,4.0,5.0,13,Nurse (RN),Employed,True,0.0,0.0,4.0,"$25,000-49,999",1.0,2.0,KY
Current,0.198,3.0,5.0,3,Accountant/CPA,Self-employed,False,0.0,0.0,0.0,"$50,000-74,999",4.0,43.0,FL
Completed,0.1882,5.0,6.0,3,Clerical,Employed,True,0.0,0.0,0.0,"$25,000-49,999",3.0,3.0,IN
Completed,0.175,4.0,8.0,1,Accountant/CPA,Full-time,True,1.0,17083.0,3.0,"$75,000-99,999",1.0,29.0,CA
Completed,0.2399,3.0,6.0,6,Other,Full-time,False,0.0,0.0,2.0,"$25,000-49,999",2.0,11.0,CA
Current,0.0929,6.0,10.0,2,Administrative Assistant,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,11.0,IL
Completed,0.1579,5.0,6.0,7,Social Worker,Employed,False,3.0,138.0,7.0,"$50,000-74,999",2.0,31.0,WA
Current,0.0729,6.0,8.0,1,Teacher,Full-time,False,0.0,0.0,0.0,"$25,000-49,999",2.0,50.0,IL
Current,0.1255,5.0,8.0,1,Skilled Labor,Employed,False,0.0,0.0,5.0,"$50,000-74,999",1.0,1.0,NJ
Completed,0.3085,2.0,1.0,2,Computer Programmer,Employed,True,0.0,0.0,21.0,"$100,000+",1.0,1.0,VA
Completed,0.34,2.0,6.0,5,Sales - Retail,Part-time,False,0.0,0.0,1.0,"$1-24,999",1.0,14.0,TX
Chargedoff,0.2999,2.0,2.0,7,Skilled Labor,Full-time,False,0.0,0.0,0.0,"$1-24,999",1.0,5.0,OH
Completed,0.32,1.0,5.0,1,Professional,Full-time,True,0.0,0.0,0.0,"$75,000-99,999",1.0,23.0,CA
Current,0.3034,1.0,4.0,1,Administrative Assistant,Employed,False,0.0,0.0,0.0,"$25,000-49,999",3.0,95.0,TX
Chargedoff,0.094,6.0,9.0,1,Administrative Assistant,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",2.0,54.0,CA
Current,0.3204,2.0,3.0,3,Professional,Self-employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,22.0,IL
FinalPaymentInProgress,0.2799,2.0,4.0,3,Truck Driver,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,34.0,GA
Completed,0.0549,7.0,10.0,1,Nurse (RN),Full-time,True,0.0,0.0,1.0,"$50,000-74,999",1.0,28.0,IN
Completed,0.0864,6.0,8.0,1,Executive,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,5.0,CO
Completed,0.095,7.0,6.0,1,Nurse (RN),Full-time,True,0.0,0.0,0.0,"$100,000+",1.0,13.0,FL
Current,0.1123,6.0,8.0,1,Analyst,Employed,True,0.0,0.0,0.0,"$75,000-99,999",2.0,29.0,VA
Completed,0.21,3.0,7.0,7,Other,Other,False,0.0,0.0,0.0,"$50,000-74,999",1.0,9.0,SC
Completed,0.101,6.0,8.0,3,Sales - Retail,Employed,True,0.0,0.0,0.0,"$75,000-99,999",2.0,53.0,IL
Current,0.1775,4.0,8.0,1,Other,Self-employed,False,0.0,0.0,9.0,"$50,000-74,999",1.0,15.0,CA
Completed,0.2799,2.0,1.0,1,Other,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,12.0,CT
Current,0.1805,4.0,7.0,2,Police Officer/Correction Officer,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,2.0,NC
Current,0.1149,6.0,10.0,13,Social Worker,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,12.0,CA
Completed,0.1265,5.0,8.0,1,Other,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,10.0,WI
Current,0.1149,6.0,7.0,20,Executive,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,12.0,NJ
Current,0.1374,5.0,7.0,1,Military Enlisted,Employed,True,0.0,0.0,0.0,"$50,000-74,999",2.0,10.0,KY
Current,0.095,6.0,9.0,20,Engineer - Mechanical,Employed,True,1.0,102959.0,12.0,"$100,000+",1.0,9.0,FL
Completed,0.1774,4.0,4.0,1,Administrative Assistant,Full-time,True,2.0,185.0,6.0,"$50,000-74,999",1.0,18.0,MD
Current,0.2816,2.0,5.0,1,Civil Service,Employed,True,1.0,8388.0,3.0,"$100,000+",2.0,25.0,MD
Current,0.2899,2.0,3.0,18,Other,Employed,True,3.0,1636.0,1.0,"$1-24,999",1.0,11.0,OH
Past Due (16-30 days),0.3034,1.0,2.0,1,Other,Not employed,True,2.0,988.0,0.0,Not employed,1.0,14.0,NC
Current,0.142,5.0,8.0,2,Engineer - Mechanical,Employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,14.0,OH
Completed,0.34,1.0,3.0,7,Flight Attendant,Full-time,True,2.0,10490.0,5.0,"$25,000-49,999",1.0,17.0,NC
Current,0.2259,3.0,3.0,14,Other,Employed,True,0.0,0.0,9.0,"$1-24,999",1.0,5.0,TN
Current,0.1485,4.0,8.0,1,Teacher,Employed,False,1.0,404.0,47.0,"$50,000-74,999",1.0,30.0,FL
Completed,0.34,1.0,4.0,1,Teacher,Employed,True,0.0,0.0,6.0,"$50,000-74,999",1.0,10.0,MN
Current,0.0989,6.0,10.0,1,Sales - Commission,Full-time,True,0.0,0.0,0.0,"$25,000-49,999",1.0,35.0,IL
Completed,0.0874,6.0,9.0,1,Computer Programmer,Employed,True,0.0,0.0,0.0,"$100,000+",3.0,33.0,GA
Current,0.2637,3.0,7.0,1,Civil Service,Employed,True,1.0,178.0,1.0,"$25,000-49,999",2.0,47.0,OH
Current,0.1246,6.0,7.0,6,Postal Service,Full-time,False,1.0,344.0,3.0,"$50,000-74,999",1.0,35.0,CT
Completed,0.25,3.0,7.0,1,Administrative Assistant,Full-time,True,0.0,0.0,0.0,"$25,000-49,999",1.0,19.0,CA
Current,0.2081,4.0,5.0,13,Waiter/Waitress,Employed,True,1.0,0.0,11.0,"$25,000-49,999",1.0,29.0,FL
Chargedoff,0.251,3.0,3.0,1,Food Service,Employed,False,0.0,0.0,0.0,"$1-24,999",1.0,8.0,OH
Completed,0.2675,3.0,5.0,3,Executive,Self-employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,25.0,AL
Completed,0.0974,6.0,8.0,3,Professional,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",2.0,37.0,GA
Current,0.1053,6.0,8.0,2,Truck Driver,Self-employed,True,0.0,0.0,2.0,"$75,000-99,999",2.0,53.0,TX
Current,0.1369,5.0,6.0,3,Sales - Retail,Employed,True,0.0,0.0,0.0,"$75,000-99,999",3.0,67.0,IL
Completed,0.0749,6.0,9.0,1,Professional,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,34.0,MN
Current,0.1419,5.0,6.0,1,Postal Service,Employed,True,1.0,50.0,0.0,"$50,000-74,999",1.0,18.0,NY
Current,0.0939,6.0,10.0,2,Executive,Employed,True,0.0,0.0,0.0,"$100,000+",3.0,95.0,IL
Current,0.2224,3.0,6.0,1,Professional,Employed,False,2.0,2212.0,0.0,"$50,000-74,999",1.0,4.0,NY
Current,0.1539,5.0,5.0,1,Analyst,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,1.0,DE
Completed,0.1699,4.0,8.0,1,Police Officer/Correction Officer,Employed,False,0.0,0.0,0.0,"$50,000-74,999",2.0,31.0,NY
Current,0.2999,2.0,2.0,7,Scientist,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,11.0,MO
Current,0.1999,4.0,5.0,1,Other,Employed,False,0.0,0.0,1.0,"$50,000-74,999",1.0,19.0,KY
Current,0.1724,4.0,5.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,35.0,TX
Current,0.0989,6.0,8.0,1,Professional,Employed,True,0.0,0.0,0.0,"$75,000-99,999",2.0,56.0,CO
Current,0.1884,4.0,6.0,1,Landscaping,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,17.0,RI
Current,0.0659,7.0,10.0,1,Analyst,Employed,False,0.0,0.0,0.0,"$100,000+",2.0,14.0,NY
Completed,0.34,1.0,2.0,1,Other,Full-time,False,1.0,338.0,2.0,"$25,000-49,999",1.0,15.0,NJ
Current,0.0559,7.0,11.0,3,Computer Programmer,Employed,False,1.0,25.0,0.0,"$100,000+",1.0,0.0,MD
Current,0.1419,5.0,7.0,1,Executive,Employed,False,0.0,0.0,0.0,"$75,000-99,999",3.0,72.0,CA
Current,0.2599,3.0,4.0,1,Retail Management,Full-time,False,0.0,0.0,4.0,"$25,000-49,999",1.0,11.0,WA
Current,0.2135,3.0,5.0,1,Sales - Retail,Self-employed,True,2.0,8645.0,7.0,"$25,000-49,999",1.0,16.0,NC
Current,0.1285,6.0,10.0,1,Executive,Full-time,True,0.0,0.0,0.0,"$100,000+",2.0,22.0,MA
Completed,0.125,5.0,8.0,1,Religious,Self-employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,21.0,MS
Current,0.1169,6.0,9.0,1,Investor,Self-employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,13.0,OR
Completed,0.1799,4.0,6.0,1,Other,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,17.0,NC
Completed,0.0699,7.0,10.0,7,Engineer - Electrical,Retired,False,0.0,0.0,1.0,"$1-24,999",3.0,50.0,FL
Completed,0.11,6.0,9.0,1,Analyst,Full-time,False,0.0,0.0,0.0,"$100,000+",1.0,23.0,MD
Current,0.1555,4.0,7.0,1,Other,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,1.0,NY
Completed,0.09,6.0,9.0,7,Realtor,Self-employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,1.0,AZ
Current,0.0749,7.0,10.0,3,Sales - Commission,Full-time,False,0.0,0.0,0.0,"$25,000-49,999",3.0,40.0,HI
Completed,0.0874,6.0,9.0,2,Computer Programmer,Employed,True,0.0,0.0,25.0,"$100,000+",1.0,10.0,MD
Completed,0.05,7.0,10.0,1,Computer Programmer,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,8.0,OH
Chargedoff,0.1899,4.0,7.0,1,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,35.0,NH
Current,0.2999,2.0,5.0,1,Analyst,Employed,False,1.0,2556.0,5.0,"$75,000-99,999",2.0,44.0,MI
Completed,0.3,1.0,1.0,1,Sales - Retail,Full-time,True,0.0,0.0,6.0,"$25,000-49,999",2.0,57.0,SC
Current,0.2727,3.0,1.0,1,Other,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,15.0,NC
Completed,0.1123,6.0,8.0,13,Teacher,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,7.0,MS
Current,0.1214,5.0,10.0,15,Accountant/CPA,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,11.0,CA
Completed,0.2187,3.0,4.0,1,Other,Employed,False,0.0,0.0,0.0,"$1-24,999",1.0,3.0,GA
Current,0.2299,3.0,5.0,1,Attorney,Employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,12.0,PA
Current,0.2474,3.0,4.0,1,Military Enlisted,Full-time,False,0.0,0.0,4.0,"$25,000-49,999",2.0,65.0,GA
Current,0.1799,4.0,7.0,2,Retail Management,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",1.0,28.0,CA
Current,0.2474,3.0,5.0,7,Analyst,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,24.0,VA
Current,0.0939,6.0,11.0,2,Tradesman - Mechanic,Employed,True,1.0,1780.0,4.0,"$50,000-74,999",1.0,1.0,FL
Completed,0.0701,6.0,7.0,1,Attorney,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,6.0,DC
Defaulted,0.2187,3.0,5.0,7,Postal Service,Employed,False,1.0,90.0,10.0,"$50,000-74,999",1.0,35.0,WA
Defaulted,0.1802,4.0,5.0,15,Other,Full-time,False,2.0,324.0,0.0,"$75,000-99,999",1.0,8.0,NY
Completed,0.0799,6.0,10.0,3,Administrative Assistant,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,6.0,WA
Current,0.1199,6.0,6.0,13,Food Service Management,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,6.0,NY
Current,0.2489,4.0,4.0,3,Tradesman - Mechanic,Employed,False,0.0,0.0,0.0,"$1-24,999",1.0,19.0,CA
Current,0.1774,4.0,5.0,1,Computer Programmer,Self-employed,False,0.0,0.0,0.0,"$75,000-99,999",4.0,67.0,CA
Past Due (1-15 days),0.2686,2.0,2.0,1,Principal,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,9.0,MN
Current,0.2505,4.0,3.0,1,Professional,Employed,True,0.0,0.0,14.0,"$75,000-99,999",2.0,40.0,PA
Current,0.1556,5.0,6.0,3,Other,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,6.0,NJ
Current,0.0949,6.0,10.0,1,Sales - Commission,Full-time,True,1.0,10298.0,30.0,"$100,000+",3.0,67.0,MO
Current,0.3077,1.0,1.0,1,Computer Programmer,Employed,True,3.0,926.0,0.0,"$75,000-99,999",2.0,47.0,AR
Current,0.2135,3.0,7.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,21.0,NC
Current,0.0939,6.0,11.0,1,Executive,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,1.0,FL
Current,0.089,6.0,8.0,1,Military Enlisted,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,4.0,RI
Chargedoff,0.1745,5.0,6.0,3,Teacher,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,6.0,NY
Current,0.1214,5.0,11.0,1,Professional,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,35.0,TN
Chargedoff,0.101,6.0,8.0,1,Computer Programmer,Full-time,True,0.0,0.0,0.0,"$75,000-99,999",1.0,18.0,FL
Completed,0.3077,1.0,2.0,15,Professional,Employed,False,3.0,1293.0,0.0,"$25,000-49,999",1.0,9.0,PA
Completed,0.2749,2.0,4.0,1,Other,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,21.0,NY
Current,0.2973,2.0,1.0,3,Professional,Full-time,True,3.0,337.0,0.0,"$50,000-74,999",1.0,14.0,CA
Current,0.2959,1.0,2.0,2,Accountant/CPA,Employed,True,0.0,0.0,0.0,"$100,000+",2.0,61.0,NY
Completed,0.2524,3.0,3.0,14,Skilled Labor,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,1.0,FL
Completed,0.306,2.0,3.0,1,Food Service Management,Employed,True,0.0,0.0,12.0,"$50,000-74,999",4.0,44.0,CO
Current,0.1949,4.0,3.0,19,Other,Other,True,13.0,0.0,0.0,"$50,000-74,999",2.0,18.0,NC
Current,0.1196,6.0,9.0,1,Analyst,Employed,True,0.0,0.0,5.0,"$50,000-74,999",1.0,13.0,GA
Chargedoff,0.1556,5.0,6.0,3,Police Officer/Correction Officer,Full-time,True,0.0,0.0,0.0,"$25,000-49,999",2.0,44.0,MD
Current,0.2059,4.0,4.0,18,Accountant/CPA,Employed,True,0.0,0.0,10.0,"$100,000+",2.0,27.0,NC
Current,0.2105,4.0,5.0,1,Clerical,Employed,False,0.0,0.0,0.0,"$50,000-74,999",2.0,45.0,CA
Chargedoff,0.1556,5.0,6.0,2,Analyst,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,4.0,TX
Current,0.17,4.0,1.0,3,Sales - Retail,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,11.0,IL
Current,0.198,3.0,2.0,2,Military Enlisted,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,5.0,CO
Current,0.1884,4.0,4.0,3,Food Service,Self-employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,13.0,CA
Defaulted,0.28,3.0,7.0,1,Computer Programmer,Full-time,True,0.0,0.0,4.0,"$50,000-74,999",1.0,20.0,IN
Current,0.1539,5.0,7.0,20,Other,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,14.0,NJ
Current,0.2816,2.0,5.0,19,Homemaker,Employed,False,1.0,0.0,14.0,"$75,000-99,999",1.0,9.0,CT
Current,0.1695,4.0,6.0,2,Construction,Employed,False,5.0,0.0,19.0,"$50,000-74,999",1.0,5.0,OK
Current,0.0999,6.0,10.0,1,Professional,Employed,True,1.0,0.0,4.0,"$100,000+",1.0,13.0,WA
Current,0.2973,2.0,1.0,3,Teacher,Employed,True,1.0,428.0,0.0,"$50,000-74,999",3.0,45.0,UT
Current,0.0874,6.0,8.0,18,Nurse (RN),Employed,True,0.0,0.0,13.0,"$100,000+",1.0,10.0,AL
Completed,0.2999,2.0,4.0,1,Other,Employed,False,2.0,500.0,4.0,"$25,000-49,999",1.0,35.0,FL
Chargedoff,0.2474,3.0,4.0,1,Police Officer/Correction Officer,Employed,False,0.0,0.0,14.0,"$75,000-99,999",1.0,10.0,CA
Current,0.2262,4.0,7.0,7,Administrative Assistant,Full-time,True,1.0,219.0,0.0,"$50,000-74,999",4.0,107.0,GA
Completed,0.2999,2.0,5.0,1,Professional,Employed,False,1.0,215.0,10.0,"$50,000-74,999",1.0,31.0,GA
Completed,0.13,3.0,7.0,6,Other,Full-time,False,0.0,0.0,0.0,"$25,000-49,999",2.0,46.0,CO
